"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"AC003958.6",0,0,0,0,0,0
"AC003968.1",0,0,0,0,0,0
"AC003973.1",0,0,0,0,0,0
"AC003973.3",7,20,13,56,23,37
"AC003973.4",0,0,2,0,1,1
"AC003973.5",0,0,0,0,0,0
"AC003984.1",0,0,0,0,0,0
"AC003985.1",0,0,0,0,0,0
"AC003986.5",0,1,0,0,0,2
"AC003986.6",16,28,13,19,10,13
"AC003986.7",2,1,1,4,7,4
"AC003988.1",0,0,0,0,0,0
"AC003989.3",0,0,0,0,0,0
"AC003989.4",0,0,0,0,0,0
"AC003991.3",2,0,0,2,0,3
"AC004000.1",0,0,0,0,0,0
"AC004000.2",0,0,0,0,0,0
"AC004004.2",0,0,0,0,0,0
"AC004006.2",0,0,0,0,0,0
"AC004009.1",0,0,0,0,0,0
"AC004009.2",0,0,0,0,0,0
"AC004009.3",0,0,0,0,0,0
"AC004012.1",0,0,0,0,0,0
"AC004014.3",0,0,0,0,0,0
"AC004016.1",0,0,0,0,0,0
"AC004019.10",1,3,0,1,1,0
"AC004019.13",3,3,1,1,4,3
"AC004022.7",0,0,0,0,0,0
"AC004022.8",0,0,0,0,0,0
"AC004051.2",0,0,0,0,0,0
"AC004052.1",0,0,0,0,0,0
"AC004053.1",0,2,0,1,0,0
"AC004053.2",0,0,0,0,0,0
"AC004054.1",0,0,0,0,0,0
"AC004057.1",0,0,0,0,0,0
"AC004062.2",0,0,0,0,0,0
"AC004063.1",0,0,0,0,0,0
"AC004066.2",0,0,0,0,0,0
"AC004066.3",0,0,0,0,0,0
"AC004067.5",2,2,6,0,0,1
"AC004069.1",0,0,0,0,0,0
"AC004069.2",0,1,0,0,0,1
"AC004070.1",0,0,0,0,0,0
"AC004074.4",0,0,0,0,0,0
"AC004076.5",4,9,3,8,3,7
"AC004076.7",1,0,0,0,0,0
"AC004076.9",0,0,2,0,0,0
"AC004079.1",0,0,0,0,0,0
"AC004108.1",0,0,0,0,0,0
"AC004112.4",1,1,0,0,0,0
"AC004125.3",0,0,0,0,0,0
"AC004129.7",0,0,0,0,0,0
"AC004129.9",0,0,0,0,0,0
"AC004156.3",18,12,12,20,26,8
"AC004158.1",0,0,0,0,0,0
"AC004158.3",0,0,0,0,1,0
"AC004159.1",0,0,0,0,0,0
