"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"ABCB10P3",0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0
"ABCB11",0.940579559310633,0,0,0,0,0
"ABCB4",0,0,0,3.83722259384598,2.75433283861736,0
"ABCB5",0,0,1.78302155945396,0.767444518769195,2.75433283861736,0
"ABCB6",15.9898525082808,68.0855750017067,65.0802869200694,43.7443375698441,74.3669866426687,30.3935334762441
"ABCB7",336.727482233207,327.500234185425,335.208053177344,231.768244668297,330.519940634083,314.066512587856
"ABCB8",484.398473044976,549.855656342897,563.43481278745,419.79215176675,787.739191844565,554.681985941455
"ABCB9",162.720263760739,133.585621838792,180.976688284577,155.791237310147,128.076476995707,117.774942220446
"ABCC1",832.41290998991,968.711219011624,2063.84745506796,408.280483985212,420.035757889147,434.374249264656
"ABCC10",236.085469386969,220.631736714391,225.552227270926,240.977578893527,254.775787572106,164.631639662989
"ABCC11",1.88115911862127,1.72368544308118,1.78302155945396,10.7442232627687,0,7.59838336906103
"ABCC12",0,0,0,0,0,0
"ABCC13",0,0.861842721540591,0,0,0,0
"ABCC2",8.46521603379569,10.3421126584871,6.24057545808885,3.83722259384598,5.50866567723472,1.26639722817684
"ABCC3",813.601318803697,629.145186724631,1210.67163886924,258.628802825219,16.5259970317042,31.659930704421
"ABCC4",54.5536144400167,45.6776642416513,20.5047479337205,65.2327840953816,8.26299851585208,40.5247113016588
"ABCC5",565.28831514569,424.026618997971,507.269633664651,258.628802825219,459.973584049099,381.185565681229
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",82.7710012193357,64.6382041155443,172.061580487307,31.465225269537,30.297661224791,12.6639722817684
"ABCC6P1",4.70289779655316,2.58552816462177,8.02359701754281,0,2.75433283861736,1.26639722817684
"ABCC6P2",8.46521603379569,5.17105632924354,16.0471940350856,0,6.8858320965434,3.79919168453052
"ABCC8",0,0,0.891510779726979,0,0,0
"ABCC9",3.76231823724253,0.861842721540591,2.67453233918094,0,4.13149925792604,12.6639722817684
"ABCD1",199.402866573854,206.842253169742,239.816399746557,196.465796804914,223.100959928006,129.172517274038
"ABCD1P2",1.88115911862127,0,0.891510779726979,0,0,0
"ABCD1P3",0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0
"ABCD1P5",1.88115911862127,0,0.891510779726979,0,0,0
"ABCD2",0,0,0,3.83722259384598,0,2.53279445635368
"ABCD3",802.31436409197,803.237416475831,880.812650370255,1078.25954887072,1589.25004788222,1971.78048427134
"ABCD4",554.941939993273,450.743743365729,548.279129532092,477.350490674439,487.516912435273,384.984757365759
"ABCE1",508.853541587052,504.177992101246,407.420426335229,666.141842291661,699.60054100881,867.482101301135
"ABCF1",792.908568498863,781.691348437316,783.637975380014,554.862387070128,604.576058076511,595.206697243114
"ABCF2",1155.97227839277,1259.1522161708,1076.94502191019,838.81685901473,827.677018004517,710.448845007207
"ABCF2P1",0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0
"ABCF3",731.770897143672,806.684787361993,758.675673547659,610.885836940279,856.597512809999,611.669861209413
"ABCG1",822.066534837493,1459.09972756822,1573.51652621812,275.512582238141,462.727916887717,416.64468807018
"ABCG2",2.8217386779319,4.30921360770295,5.34906467836187,54.4885608326129,68.858320965434,46.856697442543
"ABCG4",102.523171964859,28.4408098108395,76.6699270565202,22.2558910443067,11.0173313544694,37.9919168453052
"ABCG5",0,0,0,0,2.75433283861736,2.53279445635368
"ABCG8",0,0,0,3.06977807507678,1.37716641930868,3.79919168453052
"ABHD1",17.871011626902,29.3026525323801,26.7453233918094,39.139670457229,55.0866567723472,34.1927251607746
"ABHD10",377.172403283564,353.355515831642,376.217549044785,566.374054851666,612.839056592363,604.071477840352
"ABHD11",247.372424098696,265.447558234502,230.00978116956,250.954357637527,242.381289798328,158.299653522105
"ABHD11-AS1",0.940579559310633,1.72368544308118,0,0,0,0
"ABHD12",842.759285142327,537.789858241329,902.208909083702,422.094485323057,563.26106549725,469.833371653607
"ABHD12B",0.940579559310633,2.58552816462177,0,1.53488903753839,5.50866567723472,2.53279445635368
"ABHD13",170.244900235225,201.671196840498,164.929494249491,283.187027425833,220.346627089389,243.148267809953
"ABHD14A",75.2463647448506,140.480363611116,157.797408011675,306.977807507678,245.135622636945,255.812240091721
"ABHD14A-ACY1",1.88115911862127,3.44737088616236,3.56604311890791,2.30233355630759,1.37716641930868,0
"ABHD14B",411.033267418747,448.158215201107,614.250927231888,270.140470606757,234.118291282476,205.156350964648
"ABHD15",350.836175622866,330.085762350046,368.193952027242,318.489475289216,331.897107053392,376.119976768521
"ABHD15-AS1",0,0,0,0,0,0
"ABHD16A",20.6927503048339,18.0986971523524,23.1792802729014,14.5814458566147,27.5433283861736,27.8607390198905
"ABHD16B",0.940579559310633,1.72368544308118,0.891510779726979,0,1.37716641930868,0
"ABHD17A",436.428915520134,465.395069631919,404.745893996048,432.071264067057,454.464918371864,317.865704272387
"ABHD17AP1",0,0.861842721540591,0,0,0,0
"ABHD17AP3",0,0,0,0,2.75433283861736,0
"ABHD17AP4",0,0,1.78302155945396,0,0,0
"ABHD17AP5",0,0,0,0.767444518769195,0,0
"ABHD17AP6",0.940579559310633,0,0,0,0,0
"ABHD17AP7",0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0
"ABHD17B",299.104299860781,406.789764567159,343.231650194887,316.954586251678,400.755428018826,444.50542709007
"ABHD17C",1013.00418537755,1310.0009367417,1076.94502191019,794.305076926117,750.555698523231,878.879676354726
